Instance,Method,Profit,Weight,NumItems,Time,Feasible
11I1.txt,Greedy_MaxProfitWeight,11919,10869,105,0.001201,Yes
11I1.txt,Greedy_MinConflicts,25579,24409,117,0.001258,Yes
11I1.txt,GRASP_100_0.3,15604,14494,111,8.390376,Yes
11I2.txt,Greedy_MaxProfit,31272,30312,96,0.001162,Yes
11I2.txt,Greedy_MinWeight,11017,10017,100,0.001261,Yes
11I2.txt,Greedy_MaxProfitWeight,11017,10017,100,0.001151,Yes
11I2.txt,Greedy_MinConflicts,23407,22287,112,0.001153,Yes
11I2.txt,GRASP_100_0.3,15712,14632,108,8.128197,Yes
11I3.txt,Greedy_MaxProfit,31520,30520,100,0.001190,Yes
11I3.txt,Greedy_MinWeight,8492,7572,92,0.001139,Yes
11I3.txt,Greedy_MaxProfitWeight,8492,7572,92,0.001090,Yes
11I3.txt,Greedy_MinConflicts,22635,21535,110,0.001151,Yes
11I3.txt,GRASP_100_0.3,16181,15051,113,8.370241,Yes
11I4.txt,Greedy_MaxProfit,30799,29799,100,0.001180,Yes
11I4.txt,Greedy_MinWeight,10571,9561,101,0.001189,Yes
11I4.txt,Greedy_MaxProfitWeight,10571,9561,101,0.001107,Yes
11I4.txt,Greedy_MinConflicts,23345,22205,114,0.001157,Yes
11I4.txt,GRASP_100_0.3,16653,15533,112,8.201613,Yes
11I5.txt,Greedy_MaxProfit,31375,30355,102,0.001302,Yes
11I5.txt,Greedy_MinWeight,10002,8992,101,0.001141,Yes
11I5.txt,Greedy_MaxProfitWeight,10002,8992,101,0.001102,Yes
11I5.txt,Greedy_MinConflicts,24946,23776,117,0.001285,Yes
11I5.txt,GRASP_100_0.3,17310,16210,110,8.623743,Yes
12I1.txt,Greedy_MaxProfit,20040,19470,57,0.000724,Yes
12I1.txt,Greedy_MinWeight,5380,4800,58,0.000707,Yes
12I1.txt,Greedy_MaxProfitWeight,5380,4800,58,0.000694,Yes
12I1.txt,Greedy_MinConflicts,16118,15448,67,0.000698,Yes
12I1.txt,GRASP_100_0.3,8268,7628,64,2.822771,Yes
12I2.txt,Greedy_MaxProfit,18860,18280,58,0.000766,Yes
12I2.txt,Greedy_MinWeight,6066,5436,63,0.000784,Yes
