Instance,Method,Profit,Weight,NumItems,Time,Feasible
9I2,Greedy_MaxProfit,4240,3770,47,0.000412,Yes
9I2,Greedy_MinWeight,1326,846,48,0.000248,Yes
9I2,Greedy_MaxProfitWeight,1326,846,48,0.000232,Yes
9I2,Greedy_MinConflicts,2916,2386,53,0.000390,Yes
9I2,GRASP_MultiStart_100_alpha0.300000,2265,1705,56,0.984210,Yes
9I3,Greedy_MaxProfit,4383,3903,48,0.000314,Yes
9I3,Greedy_MinWeight,2062,1542,52,0.000258,Yes
9I3,Greedy_MaxProfitWeight,2062,1542,52,0.000247,Yes
9I3,Greedy_MinConflicts,3239,2669,57,0.000399,Yes
9I3,GRASP_MultiStart_100_alpha0.300000,2143,1603,54,0.897339,Yes
9I4,Greedy_MaxProfit,4654,4124,53,0.000506,Yes
9I4,Greedy_MinWeight,1329,879,45,0.000282,Yes
9I4,Greedy_MaxProfitWeight,1329,879,45,0.000236,Yes
9I4,Greedy_MinConflicts,3405,2825,58,0.000415,Yes
9I4,GRASP_MultiStart_100_alpha0.300000,1870,1380,49,0.854298,Yes
9I5,Greedy_MaxProfit,4308,3828,48,0.000283,Yes
9I5,Greedy_MinWeight,1763,1273,49,0.000241,Yes
9I5,Greedy_MaxProfitWeight,1763,1273,49,0.000230,Yes
9I5,Greedy_MinConflicts,3517,2967,55,0.000380,Yes
9I5,GRASP_MultiStart_100_alpha0.300000,2051,1521,53,0.896684,Yes
